EDADHOM,EDADMUJ,DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,PUEHOM,PUEMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOMUJ,CIUOHOM,AÑOOCU
22,36,,110,3,2023,29,1,1,110,1,4,320,320,2,4,52,921,2023
33,19,,1711,12,2023,2,12,17,1711,1,4,320,320,4,9,97,310,2023
26,18,,1609,2,2023,23,1,16,1609,1,1,320,320,2,9,97,921,2023
25,24,,107,4,2023,16,4,1,107,9,9,320,320,1,3,97,921,2023
35,38,,1420,8,2023,21,8,14,1420,1,9,320,484,2,2,97,921,2023
37,35,,507,1,2023,4,1,5,507,4,4,320,320,2,2,97,921,2023
56,59,,1804,6,2023,27,5,18,1804,4,4,320,320,1,1,97,921,2023
27,30,,501,5,2023,17,5,5,501,4,4,320,320,2,3,97,921,2023
31,20,,1402,2,2023,31,1,14,1402,9,1,320,320,2,9,97,921,2023
28,30,,103,8,2023,11,8,1,103,4,4,320,320,2,4,43,72,2023
22,23,,1901,4,2023,13,4,19,1901,9,9,320,320,1,3,97,72,2023
39,33,,1713,3,2023,12,11,17,1713,4,4,320,320,3,3,97,52,2023
23,38,,416,11,2023,11,11,4,416,9,4,320,320,2,2,52,83,2023
19,18,,901,1,2023,12,11,9,923,9,9,320,320,9,9,97,97,2023
22,21,,2001,12,2023,18,12,20,2001,9,4,320,320,4,9,34,97,2023
25,26,,1709,4,2023,21,4,17,1709,1,1,320,320,3,2,97,921,2023
